date;tweet;nlikes;nretweets;hashtags
2022-04-23 22:23:07;"Je n’ai pas peur de la réélection de Macron car j’ai décidé de ne pas la reconnaître ; ce sombre connard n’est qu’un intrus, un occupant, un imposteur. Je désobéirai SYSTÉMATIQUEMENT à toutes ses décisions ; et je lutterai contre lui par tous les moyens. #PasMonPresident";204;76;['pasmonpresident']
2022-04-23 22:22:55;Brigitte Macron en rockstar !! j'adore .  https://t.co/vhrTCvzr4d;723;99;[]
2022-04-23 22:19:02;🇫🇷Terrible⬇️ #Macron ne peut être élu et doit être condamné !!  #MarinePresidente    https://t.co/y3WgQVhRfx;123;136;['macron', 'marinepresidente']
2022-04-23 22:14:22;Après tous vos messages et de longues réflexions, je me suis décidé : je vais voter contre Macron. Il a fait trop de trucs graves, dit trop de trucs graves, ce type est dangereux, je n'ai pas le choix, il faut le sanctionner. Je voterais pas pour MLP mais contre Macron.;604;101;[]
2022-04-23 22:12:55;SCOOP BIS : chaque électeur de Macron se verra voir son pass vaccinal réactivé dès demain pour 4 mois à l'issue de son vote, en gage de carte fidélité.;177;39;[]
2022-04-23 22:12:27;Voter contre Emmanuel Macron est un droit Voter pour @MLP_officiel est un devoir  Le reste c’est un crime contre l’humain dont personne ou presque ne réchappera  Je le pense  @YvesPDB @Poulin2012 @PhilippeMurer @VictorSinclair3 @den_pero @PolFabrice @alainhoupert @_2019_nCoV;157;62;[]
2022-04-23 22:11:40;Si Marine Le Pen devait l'emporter dimanche soir, une chose serait sûre, le compte Twitter de Maître Macronard ne disparaîtrait pas.  😊😊😊😊😊😊😊😊😊😊 Si Emmanuel Macron devait l'emporter, le compte de Maître Macronard ne disparaitrait pas non plus.  😝😝😝😝😝😝😝😝😝😝;198;25;[]
2022-04-23 22:10:49;SCOOP ! Doctolib annonce assurer une permanence dans tous les bureaux de votes demain pour proposer des créneaux de vaccination pour la 4ème dose aux électeurs de Macron.;622;170;[]
2022-04-23 22:08:07;Demain je viens avec mon propre bulletin Macron pour pas que l’assesseur me voie le prendre et sache que je donne mon cul;239;44;[]
2022-04-23 22:05:58;La France vit ses derniers battements de coeur...le dernier espoir de tenter une réanimation sera de virer Macron. Après ça il sera trop tard. Abstentionnistes, ne baissez pas les bras, on a besoin de vous.#MacronDehors;493;273;['macrondehors']
